MP_1,MP_2,MP_3,MP_4,MP_5,MP_6,MP_7
HIST1H1B,XBP1,AURKB,ELL3,PFN1,IER2,BCL2A1
CDT1,DERL3,BIRC5,HMCES,VIM,IGKC,CCL17
MYBL2,MZB1,CCNB2,MARCKSL1,ACTB,PTGDS,NOP16
UHRF1,SEC11C,CDC20,NEIL1,CFL1,APOE,BATF3
ASF1B,TXNDC5,CDCA3,AICDA,EIF4A3,DPP7,CCL22
MCM3,FKBP11,CDK1,BCL6,ENO1,HBA2,EBI3
PKMYT1,HERPUD1,DLGAP5,MEF2B,H3F3A,IGHG1,HSP90AB1
CENPM,HSP90B1,HMMR,RFTN1,LCP1,JCHAIN,HSPE1
E2F1,HYOU1,KIF20A,S1PR2,LGALS1,JSRP1,NCL
H2AFX,ITM2C,KIF2C,SERPINA9,PA2G4,JUNB,AIMP2
HELLS,JCHAIN,KIFC1,TCL1A,AHSA1,JUND,BATF
HIST1H1C,JSRP1,KPNA2,A4GALT,ANP32E,LTB,DDX21
MCM2,LMAN1,MKI67,ASB13,CCND2,PTP4A3,EIF4A1
MCM4,MAN1A1,NUSAP1,BCL7A,EEF2,RASGRP2,FASN
TYMS,MANF,PLK1,DCAF12,GADD45GIP1,TMSB4X,IL4I1
ACOT7,MYDGF,TOP2A,DTX1,GSTP1,CCDC85B,IMPDH2
MCM6,PRDM1,TPX2,LMO2,HIST1H1C,CD37,MRTO4
MCM7,PRDX4,BUB1,RGS13,HNRNPA0,CD74,MYC
PCLAF,SDF2L1,CCNB1,AFF2,HNRNPA2B1,CIRBP,NFKBIA
RECQL4,SSR4,CCNF,BACH2,HNRNPF,CORO1A,NME1
SLBP,TXNDC11,CDCA8,BIK,HSPA8,DUSP2,TNFRSF8
TK1,CHPF,CENPF,CD38,NCL,FOSB,TRAF1
CDC45,CKAP4,ESPL1,CLU,NME1,HIST1H1B,CCR7
HIST1H1D,DNAJB9,GTSE1,FANCA,NUDC,HIST1H1C,CCT2
HIST1H4C,FNDC3B,HJURP,GCHFR,PFDN2,IFI30,CD83
HMGB2,H1FX,HMGB2,GCSAM,PKM,IGHA1,DCTPP1
LMNB2,HSPA13,INCENP,KLHL6,PSME1,IGHD,EBNA1BP2
PCNA,PDK1,KIF18B,LHFPL2,SNRPB,IGHG3,ENO1
RRM1,PPIB,NCAPG,METAP2,SUMO3,IKZF1,HSPA8
RRM2,RRBP1,ASPM,MME,TMSB10,JUN,ICAM1
SPC24,SDC1,CENPA,MYO1E,ZYX,LENG8,ID2
ZWINT,SEL1L,CEP55,NUGGC,S100A4,LIMD2,IRF4
CDCA7,AQP3,KIF11,SEMA4A,LMNB2,MMP24OS,LMNA
CFL1,DNAJC3,KIF23,STAP1,RFTN1,MT-ND6,MTHFD2
DTL,ELL2,NDC80,VNN2,ACTG1,MZB1,NCF2
DUT,ERN1,NUF2,VPREB3,MARCKSL1,ODF3B,NECTIN2
ENO1,HM13,PRC1,MYBL1,TCF3,PPP1R15A,NFKB2
FANCA,IGHA1,SPAG5,IGHD,EIF4A1,PRDX4,NPM3
GINS2,NT5DC2,SPC24,SORL1,HMGB2,SAT1,PDCD5
LMNB1,SELENOS,TACC3,SEC14L1,NDUFA2,SLC3A2,PRMT1
PA2G4,TENT5C,TUBB4B,PTPRS,DRAP1,SNRNP70,RGS16
PAQR4,TIMP1,UBE2C,CR2,ATP5F1D,TAPBP,RRS1
PKM,PIM2,FAM83D,UCHL1,COX8A,TMEM259,RUVBL1
CDC6,IRF4,PTTG1,LRMP,UBE2I,TSC22D3,SEC11C
FANCI,LGALS1,TROAP,IL4R,ECH1,ZFP36L2,TFRC
WDR76,IGKC,CENPE,S1PR1,TWF2,AKT1S1,TRIP10
CHEK1,BMP6,ECT2,MYBL2,CLTA,CIITA,DUSP15
GMNN,CRELD2,PIF1,EAF2,EID1,IL4I1,CGN
HIST1H1E,ADM,DEPDC1B,BASP1,ETFB,CD83,CYB5R2
SHCBP1,PECAM1,SMTN,LPP,IGHM,TXNDC5,DUSP2
